
/home/runner/work/exp-parity-checker-iitkgp/exp-parity-checker-iitkgp/experiment/license/view.js
  1:246  warning  Unnecessary semicolon  no-extra-semi
  1698:5    warning  'r_jumper' is not defined              no-undef
  1699:5    warning  'is_dragging' is not defined           no-undef
  1700:5    warning  'dragging_chip' is not defined         no-undef
  1701:5    warning  'dragging_component' is not defined    no-undef
  1702:5    warning  'dragging_clock' is not defined        no-undef
  1703:5    warning  'dragging_bit' is not defined          no-undef
  1704:5    warning  'drag_chip_index' is not defined       no-undef
  1705:5    warning  'drag_comp_index' is not defined       no-undef
  1706:5    warning  'drag_clock_index' is not defined      no-undef
  1707:5    warning  'sel_bit_index' is not defined         no-undef
  1708:5    warning  'start_x' is not defined               no-undef
  1709:5    warning  'start_y' is not defined               no-undef
  1710:5    warning  'start_dot' is not defined             no-undef
  1711:5    warning  'nr_dot' is not defined                no-undef
  1712:5    warning  'is_connecting' is not defined         no-undef
  1713:36   warning  'is_connecting' is not defined         no-undef
  1716:10   warning  'is_dragging' is not defined           no-undef
  1716:26   warning  'is_connecting' is not defined         no-undef
  1720:5    warning  'start_x' is not defined               no-undef
  1721:5    warning  'start_y' is not defined               no-undef
  1722:5    warning  'start_dot' is not defined             no-undef
  1723:5    warning  'nr_dot' is not defined                no-undef
  1724:5    warning  'is_connecting' is not defined         no-undef
  1725:5    warning  'is_dragging' is not defined           no-undef
  1726:5    warning  'is_connecting' is not defined         no-undef
  1727:5    warning  'dragging_chip' is not defined         no-undef
  1728:5    warning  'dragging_bit' is not defined          no-undef
  1731:10   warning  'is_dragging' is not defined           no-undef
  1731:26   warning  'is_connecting' is not defined         no-undef
  1735:9    warning  'is_dragging' is not defined           no-undef
  1735:24   warning  'dragging_chip' is not defined         no-undef
  1739:9    warning  'start_x' is not defined               no-undef
  1739:19   warning  'start_x' is not defined               no-undef
  1740:9    warning  'start_y' is not defined               no-undef
  1740:19   warning  'start_y' is not defined               no-undef
  1741:16   warning  'is_dragging' is not defined           no-undef
  1741:31   warning  'dragging_component' is not defined    no-undef
  1742:13   warning  'dx' is already defined                no-redeclare
  1743:13   warning  'dy' is already defined                no-redeclare
  1745:9    warning  'start_x' is not defined               no-undef
  1745:19   warning  'start_x' is not defined               no-undef
  1746:9    warning  'start_y' is not defined               no-undef
  1746:19   warning  'start_y' is not defined               no-undef
  1747:16   warning  'is_dragging' is not defined           no-undef
  1747:31   warning  'dragging_bit' is not defined          no-undef
  1748:13   warning  'dx' is already defined                no-redeclare
  1749:13   warning  'dy' is already defined                no-redeclare
  1751:9    warning  'start_x' is not defined               no-undef
  1751:19   warning  'start_x' is not defined               no-undef
  1752:9    warning  'start_y' is not defined               no-undef
  1752:19   warning  'start_y' is not defined               no-undef
  1753:16   warning  'is_dragging' is not defined           no-undef
  1753:31   warning  'dragging_clock' is not defined        no-undef
  1754:13   warning  'dx' is already defined                no-redeclare
  1755:13   warning  'dy' is already defined                no-redeclare
  1757:9    warning  'start_x' is not defined               no-undef
  1757:19   warning  'start_x' is not defined               no-undef
  1758:9    warning  'start_y' is not defined               no-undef
  1758:19   warning  'start_y' is not defined               no-undef
  1773:22   warning  'drag_chip_index' is not defined       no-undef
  1774:22   warning  'drag_chip_index' is not defined       no-undef
  1776:22   warning  'drag_chip_index' is not defined       no-undef
  1781:27   warning  'drag_comp_index' is not defined       no-undef
  1782:27   warning  'drag_comp_index' is not defined       no-undef
  1784:27   warning  'drag_comp_index' is not defined       no-undef
  1806:35   warning  'available_id' is not defined          no-undef
  1806:62   warning  'init_x' is not defined                no-undef
  1806:70   warning  'init_y' is not defined                no-undef
  1807:5    warning  'available_id' is not defined          no-undef
  1807:20   warning  'available_id' is not defined          no-undef
  1812:1    warning  '$' is not defined                     no-undef
  1813:5    warning  '$' is not defined                     no-undef
  1843:30   warning  'available_id' is not defined          no-undef
  1843:44   warning  'init_x' is not defined                no-undef
  1843:52   warning  'init_y' is not defined                no-undef
